犬いぬ	狗 いぬ、いぬ- ケン dog words with this kanji: 子犬こいぬ - puppy
猫ねこ	"ねこ ミョウ、ビョウ、ボウ cat words with this kanji: 子猫こねこ - kitten 猫好ねこずき - ailurophile シュレディンガーの猫ねこ - Schrödinger's cat うちの猫ねこはネズミを捕つかまえたことがない。"
机つくえ	つくえ、案 つくえ キ desk, table
水みず	みず、みず- スイ water Mizu (female given name, surname) Sui (female given name) words with this kanji: 水曜日すいようび - Wednesday 鼻水はなみず - nasal mucus, runny nose 水泳すいえい - swimming
家いえ	屋 いえ、や、うち カ、ケ house, home, family, professional, expert, performer words with this kanji: 家族かぞく - family 専門家せんもんか - specialist; expert 国家こっか - nation，state 政治家せいじか - politician, statesman 芸術家げいじゅつか - artist 劇作家げきさっか - playwright, dramatist 国家間こっかかん - cross-national
外そと	他、余所 そと、ほか、はず.す、はず.れる、と- ガイ、ゲ、ウイ outside words with this kanji: 外国がいこく - foreign country 外国人がいこくじん - foreigner 外はずす - to remove, to take off 海外かいがい - the area beyond the borders, overseas, foreign countries 外食がいしょく - eating out 外国生活がいこくせいかつ - life in a foreign country; living abroad 以外いがい - apart from; excepting (something) 外交がいこう diplomacy (art of conducting international relations) 外交官がいこうかん - diplomat 外交関係がいこうかんけい - diplomatic relations
時とき	旹、刻、秋 とき、- どき ジ、シ time, hour Toki (female given name) words with this kanji: 時々ときどき - sometimes 時間じかん - time, hour 何時なんじ - what time 零時れいじ - midnight 時々ときどき - sometimes, occasionally 時計とけい - clock 腕時計うでどけい - watch, wristwatch 時差じさ - time difference 時差じさぼけ - jet lag 時代じだい - age, era, period (of time) 子供時代こどもじだい - childhood 一時いちじ - temporarily 一時的いちじてき - temporary 七時しちじ十分じゅっぷんです。
半はん	なか.ば ハン half, middle, odd number, semi-, part- words with this kanji: 半分はんぶん - half 半袖はんそで - short sleeves 七時しちじ半はんに予約よやくしています。
歳さい	才、亗 とし、とせ、よわい サイ、セイ year-end, age, occasion, opportunity words with this kanji: 何歳なんさい - how old 二十歳はたち - twenty years old お歳暮せいぼ - year-end gift 二十一歳にじゅういっさいです。
窓まど	窗、囱、牎、牕、窻、牖 まど、てんまど、けむだし ソウ、ス window, pane words with this kanji: 社会しゃかいの窓まど - trouser fly, zipper, barn door
庭にわ	にわ ジョウ、テイ courtyard, garden, yard Niwa (female given name, surname) 庭にわには二羽にわ鶏にわとりがいる。
